episode,service_level,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
72,0.9360763267740012,-5.590714222776581,-4.984905274560783,-3.1518083830611383,-3.2903478494092484,-0.655466488033884,-0.4618182590003658,0.043505,0.1,0.129809,0.2,1413,731,1344,33540,38323,38319,0,0,0,0,3516,3513,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
73,0.9418164475841306,-5.598835027966116,-5.002879025098494,-3.153253655181038,-3.295120962233659,-0.6556737300543487,-0.46098423178843734,0.043166,0.1,0.129032,0.2,1320,632,1158,33549,38413,38404,0,0,0,0,3556,3567,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
74,0.9375,-5.612459763235367,-5.0196115038091795,-3.144535080046839,-3.29879539238893,-0.6455430963782522,-0.45650481723526326,0.042833,0.1,0.12826,0.2,1401,717,1121,33888,38627,38617,0,0,0,0,3544,3529,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
75,0.936952346657064,-5.622439547486192,-5.025309257215457,-3.161135684816655,-3.32020810375388,-0.6442397010851613,-0.4577402935890444,0.042504,0.1,0.127492,0.2,1251,850,1244,33324,38262,38258,0,0,0,0,3508,3494,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
76,0.9425881649731022,-5.6104982828182255,-5.023512931055517,-3.1681761481130475,-3.3292477401951146,-0.6409704589860556,-0.4556367735128542,0.042181,0.1,0.126729,0.2,1333,588,1170,33460,38241,38238,0,0,0,0,3476,3476,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
77,0.9370812175114931,-5.627095472237072,-5.051403608613959,-3.1819126912669473,-3.345102443799203,-0.640446589570202,-0.45614370504089835,0.041862,0.1,0.125971,0.2,1401,693,1378,33281,38217,38211,0,0,0,0,3533,3553,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
78,0.9375493830912296,-5.634916382706242,-5.068507124198943,-3.18958720356228,-3.359582276910673,-0.6362726406064805,-0.45494812400239126,0.041549,0.1,0.125217,0.2,1379,676,1098,32906,37885,37876,0,0,0,0,3508,3516,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
79,0.9356074425392192,-5.641724344674635,-5.082514316084475,-3.197015573918013,-3.3609529794870308,-0.6377965690894604,-0.450752678952803,0.04124,0.1,0.124467,0.2,1339,779,1288,32892,37641,37636,0,0,0,0,3552,3537,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
80,0.9385511972702841,-5.645231180271045,-5.095037132387884,-3.1987078983801647,-3.363056715369542,-0.6339757089072069,-0.448498914675668,0.040935,0.1,0.123722,0.2,1347,688,1060,33117,37822,37820,0,0,0,0,3567,3549,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
81,0.9374532619425084,-5.676648347853087,-5.115972702063794,-3.2249171359533935,-3.3935342953600873,-0.6338669170451064,-0.4492315840937653,0.040635,0.1,0.122982,0.2,1417,674,1256,33431,38167,38163,0,0,0,0,3537,3543,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
82,0.9371031328056818,-5.689132311194416,-5.131623649787685,-3.2490060589050365,-3.411351011777798,-0.6405248096180818,-0.44752451649726416,0.04034,0.1,0.122246,0.2,1410,680,1146,33229,38096,38090,0,0,0,0,3529,3536,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
83,0.9416528676802649,-5.701563597994734,-5.133467021730611,-3.2508627719321095,-3.4187750434300552,-0.6350871314548403,-0.4443820576741602,0.040048,0.1,0.121514,0.2,1295,643,1315,33215,38180,38176,0,0,0,0,3613,3611,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
