Time;battery starvations;bike arrival;bike departure;bike starvations;escooter arrival;escooter departure;escooter starvations;events;failed events;long congestions;random trips;roaming distance for bikes;roaming distance for escooters;roaming distance for locks;roaming for bikes;roaming for escooters;roaming for locks;short congestions;starvations;trips;
Mon 07:52.000000;;57;70;;110;138;24;448;28;4;4;;10.017657304521173;3.0579121777362928;;79;8;4;24;232;
Mon 07:52.560676;;58;70;;110;138;24;448;28;4;4;;10.017657304521173;3.0579121777362928;;79;8;4;24;232;
Mon 07:52.123197;;59;70;;110;138;24;448;28;4;4;;10.017657304521173;3.0579121777362928;;79;8;4;24;232;
Mon 07:52.409179;;59;70;;110;138;24;449;28;4;4;;10.017657304521173;3.336313693535675;;79;9;5;24;232;
Mon 07:52.833737;;59;70;;111;138;24;449;28;4;4;;10.017657304521173;3.336313693535675;;79;9;5;24;232;
Mon 07:52.804738;;59;70;;112;138;24;449;28;4;4;;10.017657304521173;3.336313693535675;;79;9;5;24;232;
Mon 07:52.673187;;59;70;;113;138;24;449;28;4;4;;10.017657304521173;3.336313693535675;;79;9;5;24;232;
Mon 07:53.417536;;59;70;;114;138;24;449;28;4;4;;10.017657304521173;3.336313693535675;;79;9;5;24;232;
Mon 07:53.581782;;59;70;;115;138;24;449;28;4;4;;10.017657304521173;3.336313693535675;;79;9;5;24;232;
Mon 07:53.817958;;59;70;;116;138;24;449;28;4;4;;10.017657304521173;3.336313693535675;;79;9;5;24;232;
