rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall
0.52341247,0.22096282,0.10219669,1.0,0.6666667,0.104477614,0.0,0.056016352,0.034668274,0.02826899,0.010674574
0.5259782,0.21929845,0.107231855,0.975,0.6575758,0.104477614,0.0,0.05170743,0.03334243,0.024879927,0.011687747
0.4913406,0.18145458,0.099283576,0.98125,0.7,0.104477614,0.0,0.079305276,0.032930657,0.050715372,0.0133382715
0.47081462,0.17789458,0.09383863,1.0,0.7,0.104477614,0.0,0.08501306,0.03379967,0.057309013,0.0147130415
0.47081462,0.17774531,0.09427392,1.0,0.7,0.104477614,0.014925373,0.061478846,0.03129087,0.044016145,0.014674916
0.48877487,0.1784032,0.10173291,1.0,0.7392857,0.08955224,0.029850746,0.052404743,0.021030065,0.041350625,0.009982377
0.48364335,0.16837701,0.10779132,1.0,0.78333336,0.08955224,0.029850746,0.057483554,0.023118611,0.04656902,0.011355605
0.48492622,0.16796242,0.10868213,1.0,0.78333336,0.08955224,0.029850746,0.05215182,0.02087388,0.043708496,0.010409189
0.52341247,0.15546691,0.1359461,1.0,0.8296296,0.08955224,0.014925373,0.03714309,0.021463314,0.028489064,0.011206367
0.55676717,0.22374915,0.11216211,1.0,0.8625,0.14925373,0.029850746,0.11803909,0.08657255,0.048773654,0.028824616
0.6221937,0.25178483,0.13465707,1.0,0.85,0.17910448,0.04477612,0.1081241,0.09642305,0.058905955,0.034821454
0.6465683,0.2583973,0.14020748,1.0,0.8625,0.17910448,0.04477612,0.108486935,0.09781682,0.06073939,0.03251182
0.6504169,0.25625947,0.14086069,1.0,0.8645,0.17910448,0.04477612,0.09295749,0.090507455,0.044908743,0.02874758
0.6632457,0.26533931,0.14323919,1.0,0.8645,0.19402985,0.029850746,0.100209214,0.08479097,0.047440466,0.025076948
0.69403464,0.27731574,0.16126776,1.0,0.93711114,0.20895523,0.07462686,0.10956456,0.0923921,0.05068498,0.031708032
0.6991661,0.28209907,0.15748227,1.0,0.875,0.19402985,0.04477612,0.112606846,0.09191775,0.050383955,0.031633
0.6991661,0.2846845,0.15870439,1.0,0.875,0.19402985,0.04477612,0.11527278,0.08755158,0.050821077,0.028806023
0.70301473,0.28664792,0.16438407,1.0,1.0,0.19402985,0.08955224,0.11860526,0.08978189,0.04875666,0.029850604
0.59012187,0.2517826,0.1472242,1.0,1.0,0.1641791,0.08955224,0.13264482,0.09595542,0.06572537,0.029165063
0.5926876,0.24763243,0.153871,1.0,1.0,0.1641791,0.08955224,0.13198467,0.10166927,0.066333584,0.03139751
0.59525335,0.25617918,0.1548466,1.0,1.0,0.17910448,0.104477614,0.13970798,0.10426313,0.071016006,0.03426893
0.6055164,0.2615657,0.15892066,1.0,1.0,0.17910448,0.11940298,0.1429438,0.11165852,0.07435605,0.040533308
