episode,service_level,squared_starvation_penalty,squared_congestion_penalty,net_starvation_shortfall,net_congestion_shortfall,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
53,0.9260339023803799,-6.912220354315702,-5.491120605243346,-1.5251640921768566,-0.9650207163842207,0.051127,0.1,0.145494,0.2,1558,903,1378,33272,37884,37878,0,0,0,0,3522,3502,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
54,0.9305290753098189,-6.96058757541341,-5.531076291031883,-1.5356194403724286,-0.9722402106108884,0.05066,0.1,0.144623,0.2,1422,910,1335,33568,38284,38273,0,0,0,0,3440,3443,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
55,0.9433463127545106,-6.984501033835038,-5.536802535719559,-1.5335025900249233,-0.9751000282182005,0.050201,0.1,0.143757,0.2,1210,696,1257,33643,38463,38454,0,0,0,0,3510,3504,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
56,0.9298543978995106,-7.036185367467322,-5.573573319400374,-1.5459785282385925,-0.9841285362012135,0.049751,0.1,0.142897,0.2,1590,761,1379,33516,38277,38271,0,0,0,0,3441,3448,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
57,0.9399002343890859,-7.061313584106732,-5.5888216454335735,-1.5501568000231245,-0.9882513638706958,0.049308,0.1,0.142042,0.2,1256,744,1193,33278,38216,38212,0,0,0,0,3544,3545,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
58,0.9424524388075624,-7.090486103451158,-5.606463630903824,-1.5531301370771247,-0.9900049931600353,0.048874,0.1,0.141191,0.2,1245,697,1335,33746,38584,38578,0,0,0,0,3456,3444,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
59,0.9416764981698279,-7.125977880417227,-5.622845326284211,-1.5578615163242697,-0.9963245981491604,0.048447,0.1,0.140346,0.2,1272,656,1298,33057,37874,37867,0,0,0,0,3377,3385,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
60,0.9386706497386109,-7.148697555469527,-5.633739494473646,-1.556634243348635,-0.9994502537795612,0.048027,0.1,0.139506,0.2,1323,730,1338,33475,38380,38375,0,0,0,0,3478,3479,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
61,0.9317722815747109,-7.212412764848638,-5.6780538738346005,-1.567790016251366,-1.0068105882473557,0.047615,0.1,0.138671,0.2,1600,731,1474,34165,38497,38494,0,0,0,0,3465,3460,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
62,0.9335687354120534,-7.270174739676687,-5.720537910274316,-1.5773076943469835,-1.0148650640805505,0.047209,0.1,0.137841,0.2,1333,887,1364,33418,38207,38203,0,0,0,0,3334,3354,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
63,0.9313940399312756,-7.327478786605274,-5.759843024305151,-1.5909339846288189,-1.0201998040743314,0.046811,0.1,0.137016,0.2,1501,815,1331,33758,38430,38424,0,0,0,0,3436,3451,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
