episode,mean_loss,lr,tau,polyak,service_level,buffer_size,n_updates,elapsed_s,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate,reward_norm_std,pct_idx0,mean_chosen_idx,pct_maintenance,greedy_sl
138,0.771372,0.000837,0.4144,0.0005,0.898,50000,400,35119.2,1.729681,-3.13253,0.0,0.0,4.1424,4.0,22.41,9.1,
139,0.756823,0.000836,0.4138,0.0005,0.8942,50000,400,35341.9,1.839597,-3.16125,0.0,0.0,4.2898,2.6,23.51,7.8,
140,0.816525,0.000835,0.4132,0.0005,0.8961,50000,400,35785.3,1.699463,-3.19624,0.0,0.0,3.7148,2.3,24.29,8.0,0.8568
141,0.80704,0.000834,0.4126,0.0005,0.9018,50000,400,36014.6,1.81704,-2.97895,0.0,0.0,3.8588,2.9,24.96,9.1,
142,0.84662,0.000832,0.4119,0.0005,0.9001,50000,400,36226.8,1.691216,-2.9716,0.0,0.0,3.6136,3.2,22.78,8.0,
143,0.801182,0.000831,0.4113,0.0005,0.9027,50000,400,36463.5,1.775177,-2.91789,0.0,0.0,3.9341,2.2,24.02,9.3,
144,0.908029,0.00083,0.4107,0.0005,0.9081,50000,400,36681.4,1.499961,-2.73927,0.0,0.0,3.1656,3.3,23.58,8.8,
145,0.807371,0.000829,0.4101,0.0005,0.893,50000,400,36909.3,1.901718,-3.08655,0.0,0.0,3.8939,2.2,22.3,7.3,
146,0.818479,0.000828,0.4094,0.0005,0.8988,50000,400,37133.8,1.564722,-3.04484,0.0,0.0,3.8539,2.9,23.96,7.7,
147,0.785417,0.000826,0.4088,0.0005,0.8973,50000,400,37359.6,1.884852,-2.99655,0.0,0.0,4.1714,2.7,22.63,10.2,
148,0.799054,0.000825,0.4082,0.0005,0.9008,50000,400,37584.4,1.932595,-3.00647,0.0,0.0,3.9687,1.9,22.93,8.6,
149,0.794556,0.000824,0.4076,0.0005,0.9056,50000,400,37803.1,1.688358,-2.99818,0.0,0.0,4.314,2.4,23.45,8.5,
