episode,service_level,rebalancing_imbalance,starvation_severity_max,congestion_severity_max,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
93,0.9426586102719033,-2.003997475536246,-1.7868020889847864,-0.9230537326759233,0.03735,0.1,0.114434,0.2,1294,604,1033,33100,37922,37916,0,0,0,0,3570,3570,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
94,0.9408838779693718,-2.0193190495982565,-1.8332420087336843,-0.9598557462201203,0.0371,0.1,0.113749,0.2,1196,765,1214,33172,38090,38084,0,0,0,0,3540,3533,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
95,0.942307114755083,-2.006157961018587,-1.8002530551376654,-0.9314080027343646,0.036854,0.1,0.113068,0.2,1224,697,1336,33297,37992,37988,0,0,0,0,3545,3537,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
96,0.9431818181818182,-1.9841180040346238,-1.7419464504918487,-0.8834319628246948,0.03661,0.1,0.112391,0.2,1214,701,1202,33704,38684,38679,0,0,0,0,3644,3642,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
97,0.9309511736809138,-2.1017339855164328,-1.9479117759019335,-1.0403697083314536,0.03637,0.1,0.111718,0.2,1501,814,1225,33527,38051,38046,0,0,0,0,3656,3671,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
98,0.9415768576290414,-2.0724246606887715,-1.8801226145029737,-0.9833750960601477,0.036133,0.1,0.11105,0.2,1241,716,1162,33497,38407,38403,0,0,0,0,3620,3627,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
99,0.9452608266243677,-2.047843159813183,-1.8447092188698024,-0.9573030178592506,0.035899,0.1,0.110385,0.2,1235,594,1086,33413,38193,38186,0,0,0,0,3572,3580,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
100,0.941820793679296,-2.026338035512365,-1.7887706768785216,-0.9074861885061476,0.035668,0.1,0.109724,0.2,1310,634,1414,33414,38345,38342,0,0,0,0,3618,3626,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
101,0.9393275949974508,-2.02978603498606,-1.7922100161573895,-0.9250120196371473,0.03544,0.1,0.109067,0.2,1429,594,1201,33343,38013,38009,0,0,0,0,3588,3587,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
102,0.9446656760772659,-2.059191045323477,-1.833517898309858,-0.9633050348531158,0.035215,0.1,0.108415,0.2,1285,577,1226,33650,38584,38574,0,0,0,0,3596,3614,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
103,0.9405030878144299,-2.061517752932721,-1.8439317576822631,-0.9582143579096505,0.034993,0.1,0.107766,0.2,1167,808,1291,33195,38194,38184,0,0,0,0,3663,3659,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
