episode,service_level,rebalancing_imbalance,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
66,0.9396391536294432,-4.826919982111877,0.045654,0.1,0.134571,0.2,1280,734,1332,33366,38112,38103,0,0,0,0,4001,3986,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
67,0.9417669468464656,-4.773551847042603,0.045281,0.1,0.133765,0.2,1219,707,1287,33074,38109,38101,0,0,0,0,3955,3968,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
68,0.9396750351596397,-4.6561770798234114,0.044914,0.1,0.132964,0.2,1346,670,1304,33419,38120,38114,0,0,0,0,4034,4034,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
69,0.9354487760652765,-4.743474766565318,0.044554,0.1,0.132169,0.2,1305,831,1314,33090,37801,37793,0,0,0,0,4151,4157,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
70,0.9407166907166907,-4.785279403056968,0.044198,0.1,0.131377,0.2,1235,737,1341,33264,38010,38000,0,0,0,0,4045,4049,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
71,0.9321683352317007,-4.856550119177829,0.043849,0.1,0.130591,0.2,1339,924,1701,33362,38113,38103,0,0,0,0,4121,4102,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
72,0.9375297335870599,-4.875237836502797,0.043505,0.1,0.129809,0.2,1456,645,1433,33632,38372,38366,0,0,0,0,3987,3990,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
73,0.9389933147465299,-4.901985377894482,0.043166,0.1,0.129032,0.2,1342,693,1301,33357,38199,38186,0,0,0,0,4105,4103,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
74,0.9341279799247177,-4.986587551254667,0.042833,0.1,0.12826,0.2,1346,859,1424,33474,38268,38263,0,0,0,0,4008,3993,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
75,0.9373468045674658,-4.883445536656598,0.042504,0.1,0.127492,0.2,1410,686,1298,33454,38233,38229,0,0,0,0,4065,4060,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
76,0.9366579229760343,-4.907039081700998,0.042181,0.1,0.126729,0.2,1261,864,1271,33548,38401,38396,0,0,0,0,4109,4105,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
