episode,service_level,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
49,0.9308505884105467,-3.0406732649283796,-2.473409826399939,-3.7152844067068576,-3.875796067974876,0.053085,0.1,0.14903,0.2,1399,922,1395,33565,38161,38151,0,0,0,0,3387,3372,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
50,0.9293256539476842,-3.0507213916533855,-2.4765647075320967,-3.728278506207846,-3.9101288442057824,0.052582,0.1,0.148138,0.2,1541,815,1418,33336,37964,37961,0,0,0,0,3320,3310,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
51,0.9335410481761265,-3.0811662755482203,-2.4925779730703432,-3.722626745869826,-3.926677752617913,0.052088,0.1,0.147251,0.2,1585,676,1224,34021,38543,38534,0,0,0,0,3270,3277,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
52,0.9255239632851975,-3.113800324212589,-2.526157624417092,-3.7742427241250547,-3.9786756267516075,0.051603,0.1,0.14637,0.2,1528,963,1636,33447,38063,38059,0,0,0,0,3342,3352,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
53,0.9259259259259259,-3.138962283985078,-2.5575304255674127,-3.819329213965732,-4.024600014555985,0.051127,0.1,0.145494,0.2,1568,936,1303,33804,38406,38400,0,0,0,0,3348,3348,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
54,0.9370383501743189,-3.1464427557274273,-2.56862688845919,-3.8342561042993495,-4.065861569316779,0.05066,0.1,0.144623,0.2,1473,658,1183,33846,38511,38505,0,0,0,0,3209,3205,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
55,0.9337224966322407,-3.165384731708468,-2.585326715675637,-3.8493542308108224,-4.085642862966648,0.050201,0.1,0.143757,0.2,1474,740,1185,33405,37961,37952,0,0,0,0,3222,3216,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
56,0.9315239339589025,-3.1768386757213363,-2.591883156750562,-3.8825478595128344,-4.131118610074916,0.049751,0.1,0.142897,0.2,1543,763,1438,33676,38484,38478,0,0,0,0,3246,3238,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
57,0.9316226726372849,-3.186662292927022,-2.608835142783686,-3.872092767203669,-4.160214432120462,0.049308,0.1,0.142042,0.2,1465,856,1491,33944,38673,38670,0,0,0,0,3296,3300,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
58,0.9289199445816517,-3.211018021169236,-2.6261504105884073,-3.8843859323768646,-4.191385977976339,0.048874,0.1,0.141191,0.2,1638,722,1165,33202,37647,37639,0,0,0,0,3214,3217,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
