rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall,time_remaining_fraction,functional_bikes_time_penalty,reachable_imbalance_fraction,recoverable_imbalance_fraction,imbalance_hotspot_distance,destination_starv_ratio,destination_cong_ratio,destination_travel_penalty,destination_roi_starvation,cur_station_func_deficit,functional_load_late_pressure,non_depot_late_load_pressure
0.4913406,0.18599084,0.12822686,0.16194797,0.1097177,0.9727273,0.8233333,0.08955224,0.04477612,0.05497335,0.04646381,0.0264794,0.020285405,1.0,0.0,1.0,0.049608354,0.10719201,0.0,0.4,0.0009746931,0.0,0.13636364,0.81616217,0.8591181
0.5067351,0.19691727,0.116256446,0.17222242,0.09805971,1.0,0.76,0.08955224,0.04477612,0.05459534,0.037661035,0.026892966,0.015476686,1.0,0.0,1.0,0.048101265,0.19665258,0.0,0.37931034,0.010306004,0.0,0.0,0.83297026,0.8768108
0.50801796,0.1783853,0.12521917,0.15312944,0.10441235,1.0,0.75,0.07462686,0.029850746,0.050112396,0.038439743,0.02542069,0.013621226,1.0,0.0,1.0,0.0479798,0.1858682,0.0,0.0,0.006466171,0.0,0.0,0.26610044,0.3104505
0.48236048,0.16247684,0.108332574,0.13552366,0.08842485,0.8607692,0.725,0.05970149,0.014925373,0.037073612,0.026806785,0.018116925,0.005840943,1.0,0.0,1.0,0.050531916,0.024778344,0.0,0.0,0.00664938,0.0,0.0,0.8146059,0.8598618
0.47594613,0.15342489,0.11288248,0.13157173,0.09190054,0.9307692,0.7367647,0.05970149,0.014925373,0.037153147,0.024625827,0.019109761,0.0068111285,1.0,0.0,1.0,0.051212937,0.19853915,0.0,0.0,0.002133449,0.0,0.0,0.27522618,0.32109722
0.5067351,0.13984242,0.13739923,0.12415878,0.111220874,0.975,0.7894118,0.07462686,0.014925373,0.07556742,0.02314058,0.055756085,0.009432813,1.0,0.0,1.0,0.048101265,0.524048,1.0,0.0,0.002687529,1.0,0.0,0.840476,0.8871691
0.51314944,0.13537146,0.15325308,0.11759862,0.13097213,0.8625,0.8638095,0.04477612,0.04477612,0.060531404,0.023602674,0.04755331,0.01577247,1.0,0.0,1.0,0.0475,0.085612446,0.0,0.6086956,0.017225891,0.0,0.033333335,0.9140995,0.96221
0.5182809,0.12041316,0.15808415,0.10111281,0.13581376,0.79375,0.9104762,0.029850746,0.05970149,0.052157488,0.024719397,0.042003643,0.016307425,1.0,0.0,1.0,0.047029704,0.3504231,0.0,0.56,0.0026907306,0.0,0.0,0.9206745,0.96913105
0.5182809,0.1228901,0.15900232,0.1048531,0.13674562,0.82708335,0.9104762,0.04477612,0.05970149,0.051127143,0.023525828,0.041243415,0.015597701,1.0,0.0,1.0,0.047029704,0.11630167,0.0,0.33333334,0.0078016818,0.0,0.0,0.93165433,0.98068875
0.5208467,0.11361882,0.16574611,0.09606965,0.14431238,0.79375,0.9785714,0.029850746,0.07462686,0.046268802,0.02616619,0.039822567,0.017335014,1.0,0.0,1.0,0.046798028,0.31449404,0.0,1.0,0.00044679406,0.0,0.0,0.93548167,0.98471755
0.5182809,0.114916585,0.1631002,0.097434446,0.14040323,0.80833334,0.93190473,0.029850746,0.07462686,0.045426928,0.024266731,0.03913112,0.016010491,1.0,0.0,1.0,0.047029704,0.47239703,0.0,0.0,0.0016232133,0.0,0.0,0.9404531,0.0
0.5259782,0.124090694,0.16363755,0.10727593,0.14038298,0.8566667,0.9227273,0.04477612,0.07462686,0.045910582,0.023119463,0.038923934,0.015313031,1.0,0.0,1.0,0.048780486,0.42250514,0.0,0.0,0.0,0.0,0.0,0.9444114,0.0
