Seed,time,vehicle_id,station_id,action_next_station,action_pickups,action_deliveries,expected_value_V,td_error,squared_starvation_penalty,squared_congestion_penalty,work_ratio,imbalance_concentration
9000,18426.890258086303,V0,S33,S31,9,0,-236.28537127879454,0.0,0.1394422654114826,0.07541021733145142,1.0,0.039182282793867124
9000,18437.566613296523,V0,S31,S15,0,0,-234.59898572229167,0.0,0.1247344231177067,0.08186455918568752,1.0,0.06303236797274275
9000,18444.09972228649,V0,S15,S0,0,10,-233.3074277680734,0.0,0.11338144743579621,0.08765350414385772,1.0,0.06390328151986183
9000,18461.10779981818,V0,S0,S1,0,8,-233.4918081622798,0.0,0.10940686338471622,0.09517268055268682,1.0,0.07325383304940375
9000,18471.23788159689,V0,S1,S31,0,2,-233.4906148587987,0.0,0.11710192677262234,0.08464816075803468,1.0,0.036521739130434785
9000,19141.060240193427,V0,S31,S51,14,0,-240.28765941721886,0.0,0.136922348025095,0.11581630445349653,1.0,0.0483619344773791
9000,19158.50739214596,V0,S51,S54,6,0,-238.39138154712296,0.0,0.12445241900696268,0.11778499779910104,1.0,0.0491283676703645
9000,19170.685336457907,V0,S54,S37,0,11,-236.5316844297509,0.0,0.11036943808575958,0.12293359053895134,1.0,0.04187604690117253
9000,19184.169720834416,V0,S37,S39,0,9,-236.52377685041236,0.0,0.10728494935759933,0.12765653394238152,1.0,0.04230118443316413
9000,19195.22135842526,V0,S39,S35,0,0,-236.68392189359747,0.0,0.11568045820790561,0.11606480719811503,1.0,0.04145936981757877
9000,19209.531735327608,V0,S35,S42,12,0,-236.20896413924402,0.0,0.1200721037364528,0.10481092216267475,1.0,0.04215851602023609
9000,19219.840937459787,V0,S42,S66,8,0,-235.03724685804167,0.0,0.1110961847162497,0.10801192395642707,1.0,0.04258943781942078
9000,19236.24057914191,V0,S66,S40,0,12,-232.06094056927384,0.0,0.09580186571075033,0.1043691190557994,1.0,0.045207956600361664
9000,19248.657380107168,V0,S40,S29,0,8,-231.38611624451562,0.0,0.08806408258800982,0.11020334943481339,1.0,0.045871559633027525
9000,19258.734660371905,V0,S29,S51,0,0,-231.54764632160163,0.0,0.09676938682386584,0.09812032636245954,1.0,0.04553734061930783
9000,19269.301851236625,V0,S51,S59,6,0,-231.8027514018083,0.0,0.1036513572704271,0.08957586450035632,1.0,0.04933586337760911
9000,19280.950363085234,V0,S59,S64,13,0,-234.04229210319443,0.0,0.11814698965798176,0.08749239165739493,1.0,0.05137614678899083
9000,19291.702111768496,V0,S64,S18,1,0,-231.36154930308868,0.0,0.1038398456161187,0.08511355706570081,1.0,0.05194805194805195
9000,19295.72279243755,V0,S18,S29,0,12,-229.85401903699756,0.0,0.09665036408944933,0.08276322753209067,1.0,0.04431599229287091
9000,19311.609513418563,V0,S29,S61,0,8,-232.33090548989307,0.0,0.10411184308587143,0.09371882085077442,1.0,0.04936014625228519
9000,19324.34645587237,V0,S61,S51,0,0,-234.50689214050695,0.0,0.12267530332897382,0.08449677519925901,1.0,0.056466302367941715
9000,19333.90506717781,V0,S51,S12,11,0,-234.86815029912123,0.0,0.12956798653329313,0.07692810109216817,1.0,0.05989110707803993
9000,19344.421280773524,V0,S12,S2,9,0,-234.28598060278048,0.0,0.1305840779294526,0.0701550726520541,1.0,0.05565529622980251
9000,19365.316177512952,V0,S2,S30,0,0,-233.83548375314209,0.0,0.1189131932214718,0.08435718323176333,1.0,0.05225225225225225
9000,19370.63261204106,V0,S30,S37,0,7,-233.90246792103255,0.0,0.11372796173006408,0.09353612891659155,1.0,0.04066543438077634
9000,19381.70110413702,V0,S37,S63,0,13,-234.48066620053197,0.0,0.11316173374412361,0.09982387906244643,1.0,0.03867403314917127
9000,19392.978768210032,V0,S63,S38,0,0,-233.89857110710543,0.0,0.11997468142267474,0.08362231799672795,1.0,0.043875685557586835
9000,19399.47362261583,V0,S38,S2,9,0,-233.66219225369198,0.0,0.12289077539890443,0.07673287227193779,1.0,0.04788213627992634
9000,19413.731023925007,V0,S2,S23,9,0,-233.47983752589838,0.0,0.124478890896899,0.0724261247008291,1.0,0.05156537753222836
9000,19424.002833616105,V0,S23,S63,2,0,-232.81849550687934,0.0,0.11631702355846557,0.07967787416370271,1.0,0.03669724770642202
9000,19437.007242568216,V0,S63,S35,0,12,-231.943231226478,0.0,0.11104369197328358,0.0798145989687878,1.0,0.0375234521575985
9000,19452.662771499337,V0,S35,S29,0,8,-234.7523216465624,0.0,0.12124087121758967,0.08978756904089034,1.0,0.036968576709796676
9000,19461.61008836924,V0,S29,S8,0,0,-238.27934255878952,0.0,0.1435545092468904,0.08737216786087833,1.0,0.03866432337434095
9000,19474.050941326444,V0,S8,S41,11,0,-237.60988632841105,0.0,0.14413924002916395,0.07993899256621285,1.0,0.04745166959578207
