Seed,Day,Hour,Time (minutes),Station ID,Total Bikes,Usable Bikes,Unusable Bikes,Avg Maintenance Criticality,Capacity
1,0,11,660,S13,10,10,0,0.5195,29
1,0,11,660,S14,11,11,0,0.383,13
1,0,11,660,S15,3,3,0,0.3541,27
1,0,11,660,S16,9,9,0,0.394,15
1,0,11,660,S17,13,12,1,0.4827,25
1,0,11,660,S18,12,11,1,0.4787,24
1,0,11,660,S19,9,9,0,0.3123,13
1,0,11,660,S20,11,11,0,0.4488,18
1,0,11,660,S21,5,5,0,0.2876,12
1,0,11,660,S22,14,14,0,0.4437,24
1,0,11,660,S23,8,8,0,0.3154,15
1,0,11,660,S24,10,10,0,0.5413,24
1,0,11,660,S25,9,9,0,0.3571,24
1,0,11,660,S26,8,8,0,0.4428,32
1,0,11,660,S27,12,12,0,0.3825,26
1,0,11,660,S28,11,11,0,0.4551,30
1,0,11,660,S29,1,0,1,0.922,30
1,0,11,660,S30,11,11,0,0.4256,15
1,0,11,660,S31,28,28,0,0.428,43
1,0,11,660,S32,8,8,0,0.4161,24
1,0,11,660,S33,17,17,0,0.4927,27
1,0,11,660,S34,2,2,0,0.4189,25
1,0,11,660,S35,5,4,1,0.5372,24
1,0,11,660,S36,7,6,1,0.4488,21
1,0,11,660,S37,25,24,1,0.4515,37
1,0,11,660,S38,9,9,0,0.3956,19
1,0,11,660,S39,20,20,0,0.4371,36
1,0,11,660,S40,9,9,0,0.5097,21
1,0,11,660,S41,6,6,0,0.3017,30
1,0,11,660,S42,3,3,0,0.5208,21
1,0,11,660,S43,20,20,0,0.4274,31
1,0,11,660,S44,8,8,0,0.4912,20
1,0,11,660,S45,6,6,0,0.4182,13
1,0,11,660,S46,9,9,0,0.4478,25
1,0,11,660,S47,11,10,1,0.5351,24
1,0,11,660,S48,17,17,0,0.5028,17
1,0,11,660,S49,11,11,0,0.4415,21
1,0,11,660,S50,3,3,0,0.522,30
1,0,11,660,S51,13,13,0,0.4779,22
1,0,11,660,S52,16,16,0,0.3887,19
1,0,11,660,S53,11,11,0,0.4357,31
1,0,11,660,S54,12,12,0,0.4703,24
1,0,11,660,S55,22,22,0,0.4436,31
1,0,11,660,S56,1,1,0,0.4533,12
1,0,11,660,S57,12,12,0,0.5031,25
1,0,11,660,S58,20,20,0,0.4766,30
1,0,11,660,S59,21,21,0,0.4654,37
1,0,11,660,S60,14,12,2,0.4954,31
1,0,11,660,S61,8,8,0,0.5531,16
1,0,11,660,S62,15,15,0,0.4713,26
1,0,11,660,S63,28,28,0,0.3804,28
1,0,11,660,S64,9,9,0,0.4975,13
1,0,11,660,S65,2,2,0,0.7042,25
1,0,11,660,S66,19,19,0,0.4942,24
1,0,12,720,S0,12,12,0,0.227,21
1,0,12,720,S1,6,6,0,0.2775,15
1,0,12,720,S2,9,9,0,0.4783,24
1,0,12,720,S3,11,11,0,0.4678,18
1,0,12,720,S4,9,9,0,0.5204,18
1,0,12,720,S5,10,10,0,0.462,24
1,0,12,720,S6,13,13,0,0.4092,21
1,0,12,720,S7,1,1,0,0.4082,26
1,0,12,720,S8,13,13,0,0.4313,22
1,0,12,720,S9,5,5,0,0.435,12
1,0,12,720,S10,3,3,0,0.4243,18
1,0,12,720,S11,9,8,1,0.3722,17
1,0,12,720,S12,8,7,1,0.4633,24
1,0,12,720,S13,10,10,0,0.447,29
1,0,12,720,S14,10,10,0,0.3976,13
1,0,12,720,S15,3,3,0,0.5695,27
1,0,12,720,S16,13,13,0,0.4887,15
1,0,12,720,S17,9,8,1,0.4728,25
1,0,12,720,S18,12,11,1,0.4891,24
1,0,12,720,S19,4,4,0,0.3668,13
1,0,12,720,S20,9,9,0,0.4804,18
1,0,12,720,S21,5,5,0,0.2876,12
1,0,12,720,S22,6,6,0,0.4621,24
1,0,12,720,S23,8,8,0,0.3211,15
1,0,12,720,S24,10,10,0,0.5413,24
1,0,12,720,S25,9,9,0,0.3571,24
1,0,12,720,S26,6,6,0,0.4162,32
1,0,12,720,S27,14,14,0,0.4297,26
1,0,12,720,S28,13,13,0,0.4494,30
1,0,12,720,S29,8,7,1,0.5459,30
1,0,12,720,S30,9,9,0,0.4111,15
1,0,12,720,S31,27,27,0,0.4285,43
1,0,12,720,S32,10,10,0,0.3876,24
1,0,12,720,S33,18,18,0,0.4839,27
1,0,12,720,S34,1,1,0,0.3248,25
1,0,12,720,S35,1,0,1,0.9008,24
1,0,12,720,S36,1,0,1,0.9083,21
1,0,12,720,S37,34,33,1,0.3983,37
1,0,12,720,S38,9,9,0,0.4124,19
1,0,12,720,S39,20,20,0,0.4371,36
1,0,12,720,S40,10,10,0,0.5175,21
1,0,12,720,S41,8,8,0,0.4172,30
1,0,12,720,S42,1,1,0,0.4023,21
1,0,12,720,S43,18,18,0,0.4101,31
1,0,12,720,S44,14,14,0,0.5843,20
1,0,12,720,S45,9,9,0,0.4401,13
1,0,12,720,S46,6,6,0,0.3605,25
1,0,12,720,S47,12,11,1,0.5195,24
1,0,12,720,S48,13,13,0,0.4454,17
1,0,12,720,S49,13,13,0,0.4694,21
1,0,12,720,S50,0,0,0,0.0,30
1,0,12,720,S51,22,22,0,0.4682,22
1,0,12,720,S52,15,15,0,0.3862,19
1,0,12,720,S53,11,11,0,0.4127,31
1,0,12,720,S54,5,5,0,0.5214,24
1,0,12,720,S55,18,18,0,0.423,31
1,0,12,720,S56,8,8,0,0.537,12
